质量_A,,,
t,x,y,rad
18.28,-26.93881866,-27.87945999,0.768340195
18.32,-25.75105428,-29.06318379,0.725140934
18.36,-23.47319687,-30.93789788,0.649142646
18.4,-20.1630428,-32.96993584,0.548946208
18.44,-16.09410277,-34.92597918,0.431859809
18.48,-10.67327364,-36.78228609,0.2824548
18.52,-5.166738774,-37.98057328,0.135223925
18.56,1.780937974,-38.23055208,-0.046556538
18.6,8.219391505,-37.54364469,-0.215556437
18.64,13.64265118,-36.04228285,-0.36189825
18.68,18.5569486,-33.98361956,-0.499874708
18.72,22.62522158,-31.44358973,-0.623807218
18.76,25.50636047,-29.09313698,-0.719893267
18.8,24.40337878,-27.72927573,-0.721781272
18.84,25.67314101,-26.54421788,-0.768817635
18.88,26.09897039,-26.03658924,-0.786696673
18.92,25.76856142,-26.28581367,-0.775562271
18.96,24.7383384,-27.37760173,-0.734894514
19,22.79479093,-28.99677301,-0.666303177
19.04,20.16736407,-31.1938143,-0.573997975
19.08,16.43890185,-33.4784958,-0.456504019
19.12,13.72757214,-35.51486409,-0.368888762
19.16,7.711881143,-36.96090458,-0.205725235
19.2,2.627722173,-37.72891134,-0.06954417
19.24,-3.302865551,-37.5712023,0.087695455
19.28,-8.894904421,-36.54502237,0.238784296
19.32,-13.9785038,-34.99411583,0.380083994
19.36,-18.97632609,-32.98544991,0.52212277
19.4,-21.94258449,-31.1122846,0.614334278
19.44,-24.31501873,-29.57856093,0.688130662
19.48,-25.84172712,-28.41510763,0.738099762
19.52,-27.02032992,-27.37995106,0.778888591
19.56,-26.68626988,-27.72208995,0.766461947
19.6,-25.58728768,-28.571115,0.730454058
19.64,-23.71791287,-29.93042427,0.670197914
19.68,-20.75637682,-31.79047645,0.578494448
19.72,-16.94202163,-33.82043539,0.464459842
19.76,-11.51599668,-36.11029165,0.308755507
19.8,-6.099691289,-37.38112933,0.161771106
19.84,-0.337568367,-37.80289827,0.008930616
19.88,5.257341295,-37.30884364,-0.140010487
19.92,12.96491564,-36.02586496,-0.345492351
19.96,17.71005409,-34.07810526,-0.47933747
20,21.69314439,-31.80169739,-0.598714766
20.04,24.91123144,-29.67480125,-0.698442044
20.08,26.60662796,-27.80478155,-0.76348044
20.12,27.62387972,-26.61260598,-0.804145892
