t,x,y,rad
16.76,9.264962349,-36.50191029,0.248604166
16.8,3.875615143,-37.43107801,0.103185773
16.84,-1.586801096,-37.75511517,-0.042009497
16.88,-7.119565889,-37.06621459,-0.189790382
16.92,-11.78741338,-35.95374638,-0.316847979
16.96,-16.19648186,-34.43539056,-0.439699674
17,-19.41045179,-32.84321523,-0.533847299
17.04,-22.1970339,-31.26371059,-0.617481679
17.08,-23.79965226,-30.20413646,-0.66744279
17.12,-24.72467839,-29.50842585,-0.697509148
17.16,-24.81040367,-29.50978928,-0.699190997
17.2,-23.97110668,-30.20610924,-0.670903905
17.24,-22.28737068,-31.43445656,-0.616827916
17.28,-19.66896485,-33.01527445,-0.53736088
17.32,-16.46039274,-34.77134051,-0.442190944
17.36,-11.96623536,-36.29260391,-0.318532307
17.4,-7.467615718,-37.48140081,-0.196685601
17.44,-1.937903754,-38.26390839,-0.050609061
17.48,3.525125019,-37.93431756,0.092672974
17.52,8.657065492,-37.08647909,0.22935254
17.56,12.34528804,-35.86928033,0.331518558
17.6,16.47613626,-33.72373511,0.454514355
17.64,19.83478261,-31.82421491,0.557419875
17.68,21.90775106,-30.31713207,0.625827223
17.72,23.20568862,-29.15767346,0.672304125
17.76,23.73154819,-28.64209709,0.692001262
17.8,23.63549116,-28.64812887,0.689905789
17.84,22.79234424,-29.22849928,0.66238697
17.88,21.30345245,-30.3931962,0.611428006
17.92,18.89249064,-31.97542526,0.533729198
17.96,15.19115689,-33.95023498,0.420788924
18,11.15441596,-35.76617744,0.302350478
18.04,6.868694855,-36.96817512,0.183729208
18.08,1.741858263,-37.5637041,0.046343595
18.12,-3.46118055,-37.55101775,-0.091924962
18.16,-8.56506832,-36.8674603,-0.228300818
18.2,-12.12764453,-35.70004334,-0.327520564
18.24,-16.44701792,-34.00428927,-0.450560778
18.28,-19.14965845,-32.5091565,-0.532401338
18.32,-21.51036274,-31.09757592,-0.605215896
18.36,-22.86062975,-30.13880423,-0.649010395
18.4,-23.44835469,-29.7059856,-0.668298513
18.44,-23.19735406,-29.88273367,-0.66019455
18.48,-22.10460709,-30.66719759,-0.624624074
18.52,-20.16310505,-31.98009728,-0.562609791
18.56,-17.63366346,-33.64302775,-0.482835342
18.6,-14.59061105,-35.22938075,-0.392704535
18.64,-10.09927579,-36.84605792,-0.267558211
18.68,-5.170233461,-37.78349127,-0.136011439
18.72,-0.485941414,-38.12423795,-0.012747221
18.76,5.064335797,-37.70190411,0.133543781
18.8,9.940267024,-36.85041699,0.263509606
18.84,13.12246007,-35.37408714,0.35527232
18.88,17.29653952,-33.51034685,0.476549859
18.92,19.92515997,-31.56665642,0.563124819
18.96,21.73512725,-30.14816416,0.624725239
19,22.69245479,-29.23512049,0.660148218
19.04,22.95483105,-28.89676918,0.671387835
19.08,22.54302298,-29.14153301,0.658501577
19.12,21.48729183,-29.89064776,0.623354895
19.16,19.67047041,-31.13585967,0.563520564
19.2,16.74425256,-32.87663947,0.471125328
19.24,13.12315065,-34.76967628,0.360946971
19.28,9.18210096,-36.32510078,0.247621432
19.32,4.389738219,-37.26260518,0.117280182
19.36,-0.563114512,-37.61197669,-0.014972503
19.4,-5.504301604,-37.34774747,-0.146345347
